blur_restaurant_uuid,date,weekday,site_id,village,price,yyyy-mm
r3588c2,2022-02-27,7,高雄市鳳山區,忠義里,15230.0,2022-02
r3588c2,2022-02-28,1,高雄市鳳山區,忠義里,15091.0,2022-02
r3588c2,2022-03-02,3,高雄市鳳山區,忠義里,10379.0,2022-03
r3588c2,2022-03-03,4,高雄市鳳山區,忠義里,3711.0,2022-03
r3588c2,2022-03-04,5,高雄市鳳山區,忠義里,8733.0,2022-03
r3588c2,2022-03-05,6,高雄市鳳山區,忠義里,13113.0,2022-03
r3588c2,2022-03-06,7,高雄市鳳山區,忠義里,22356.0,2022-03
r3588c2,2022-03-07,1,高雄市鳳山區,忠義里,3001.0,2022-03
r3588c2,2022-03-08,2,高雄市鳳山區,忠義里,6902.0,2022-03
r3588c2,2022-03-09,3,高雄市鳳山區,忠義里,10581.0,2022-03
r3588c2,2022-03-12,6,高雄市鳳山區,忠義里,15592.0,2022-03
r3588c2,2022-03-13,7,高雄市鳳山區,忠義里,23174.0,2022-03
r3588c2,2022-03-15,2,高雄市鳳山區,忠義里,8581.0,2022-03
r3588c2,2022-03-16,3,高雄市鳳山區,忠義里,4363.0,2022-03
r3588c2,2022-03-17,4,高雄市鳳山區,忠義里,6642.0,2022-03
r3588c2,2022-03-18,5,高雄市鳳山區,忠義里,5111.0,2022-03
r3588c2,2022-03-19,6,高雄市鳳山區,忠義里,13840.0,2022-03
r3588c2,2022-03-20,7,高雄市鳳山區,忠義里,22640.0,2022-03
r3588c2,2022-03-22,2,高雄市鳳山區,忠義里,9393.0,2022-03
r3588c2,2022-03-23,3,高雄市鳳山區,忠義里,5515.0,2022-03
r3588c2,2022-03-24,4,高雄市鳳山區,忠義里,8369.0,2022-03
r3588c2,2022-03-25,5,高雄市鳳山區,忠義里,6126.0,2022-03
r3588c2,2022-03-26,6,高雄市鳳山區,忠義里,16146.0,2022-03
r3588c2,2022-03-27,7,高雄市鳳山區,忠義里,17870.0,2022-03
r3588c2,2022-03-29,2,高雄市鳳山區,忠義里,8654.0,2022-03
r3588c2,2022-03-30,3,高雄市鳳山區,忠義里,4468.0,2022-03
r3588c2,2022-03-31,4,高雄市鳳山區,忠義里,4991.0,2022-03
r3588c2,2022-04-01,5,高雄市鳳山區,忠義里,8662.0,2022-04
r3588c2,2022-04-02,6,高雄市鳳山區,忠義里,21000.0,2022-04
r3588c2,2022-04-03,7,高雄市鳳山區,忠義里,18884.0,2022-04
r3588c2,2022-04-04,1,高雄市鳳山區,忠義里,14743.0,2022-04
r3588c2,2022-04-05,2,高雄市鳳山區,忠義里,15643.0,2022-04
r3588c2,2022-04-07,4,高雄市鳳山區,忠義里,7759.0,2022-04
r3588c2,2022-04-08,5,高雄市鳳山區,忠義里,6731.0,2022-04
r3588c2,2022-04-09,6,高雄市鳳山區,忠義里,14925.0,2022-04
r3588c2,2022-04-10,7,高雄市鳳山區,忠義里,20239.0,2022-04
r3588c2,2022-04-12,2,高雄市鳳山區,忠義里,11890.0,2022-04
r3588c2,2022-04-13,3,高雄市鳳山區,忠義里,11772.0,2022-04
